GOOGL
META
NFLX
TMUS
DIS
T
VZ
CMCSA
EA
TTWO
AMZN
TSLA
HD
MCD
BKNG
TJX
LOW
SBUX
NKE
ORLY
WMT
COST
PG
KO
PM
PEP
MO
MDLZ
CL
HSY
XOM
CVX
COP
WMB
KMI
EOG
MPC
PSX
SLB
VLO
BRK-B
JPM
V
MA
BAC
WFC
MS
AXP
GS
C
LLY
JNJ
ABBV
UNH
MRK
ABT
TMO
ISRG
AMGN
DHR
GE
CAT
RTX
BA
ETN
UNP
DE
HON
LMT
ADP
NVDA
AAPL
MSFT
AVGO
ORCL
AMD
CSCO
IBM
CRM
QCOM
LIN
NEM
SHW
ECL
APD
FCX
CTVA
VMC
MLM
NUE
WELL
PLD
AMT
EQIX
SPG
DLR
O
PSA
CCI
VTR
NEE
SO
DUK
AEP
SRE
D
XEL
EXC
PEG
ED
